HD 209290|All|PM I22021+0124  |108782| 558|1540|1|22 02 10.3|+01 24 00| 0.0976|VL07|-0.455|-0.279| 9.23|HIPPA|10.64| 9.37| 9.98| 8.84| 7.79| 6.196| 5.562| 5.322|A|M1| | 0.748| 0.709| 0.872| -3.49| 1.043| 0.808| -0.41|     |3882|PHX| | 0.56| | 0.061| | 0.60|22021026+0124006|0
HD 42581|All|PM I06105-2151  | 29295|5945| 765|1|06 10 34.6|-21 51 52| 0.1738|VL07|-0.137|-0.714| 8.20|HIPPA| 9.94| 9.26|10.11| 8.84| 7.52| 5.104| 4.393| 4.166|A|M1|S| 0.714| 0.660| 0.844| -5.54| 1.193| 0.935| -0.52| 0.02|3790|PHX| | 0.52| | 0.049| | 0.56|06103462-2151521|0
HD 36395|All|PM I05314-0340  | 25878|4770| 574|1|05 31 27.4|-03 40 38| 0.1768|VL07| 0.762|-2.094| 8.01|HIPPA| 9.46| 8.56| 9.45| 8.23| 6.89| 4.999| 4.149| 4.039|A|M1|S| 0.669| 0.628| 0.830| -5.92| 1.375| 1.071| -0.53|     |3701|PHX| | 0.49| | 0.039| | 0.52|05312734-0340356|0
HD 95735|All|PM I11033+3558  | 54035|2521|2279|1|11 03 20.2|+35 58 11| 0.3926|VL07|-0.580|-4.766| 7.51|HIPPA|     |     |     |     |     | 4.203| 3.640| 3.254|A|M1|S| 0.662| 0.623| 0.844| -6.23| 0.795| 0.915| -0.40|     |3593|PHX| | 0.44| | 0.028| | 0.46|11032023+3558117|0
Gl 806|All|PM I20450+4429  |102401|3178| 633|1|20 45 04.1|+44 29 56| 0.0812|VL07| 0.433| 0.273|10.85|HIPPA|     |     |     |     |     | 7.329| 6.769| 6.533|A|M2| | 0.657| 0.590| 0.819| -5.00| 1.223| 1.040| -0.05|     |3607|PHX| | 0.44| | 0.030| | 0.47|20450403+4429562|0
Gl 381|All|PM I10120-0241  | 49969|4907|  91|1|10 12 04.7|-02 41 05| 0.0811|VL07| 0.526|-0.606|10.66|HIPPA|12.20|10.78|11.43|10.07| 8.85| 7.021| 6.471| 6.193|A|M2|S| 0.594| 0.538| 0.776| -8.91| 1.297| 1.392| -0.43|-0.07|3538|PHX| | 0.41| | 0.024| | 0.42|10120466-0241044|0
Gl 581|All|PM I15194-0743E | 74995|    |    | |15 19 26.8|-07 43 20| 0.1609|VL07|-1.228|-0.098|10.58|HIPPA|12.14|10.69|11.32| 9.99| 8.65| 6.706| 6.095| 5.837|A|M3|S| 0.529| 0.488| 0.745|-11.32| 1.493| 1.708| -0.32|-0.21|3413|PHX| | 0.33| | 0.014| | 0.32|15192689-0743200|0
Gl 388|All|PM I10196+1952  |      |1423| 174|1|10 19 36.3|+19 52 12| 0.2046|VA95|-0.502|-0.043| 9.68|APASS|10.82| 9.68|10.12| 9.19| 7.76| 5.449| 4.843| 4.593|A|M3|S| 0.515| 0.479| 0.724|-11.22| 1.579| 1.819|  2.65|     |3471|PHX| | 0.37| | 0.018| | 0.37|10193634+1952122|0
Gl 273|All|PM I07274+0513  | 36208| 173|3208|1|07 27 24.5|+05 13 32| 0.2630|VL07| 0.573|-3.694| 9.81|HIPPA|11.45|10.16|10.64| 9.60| 8.22| 5.714| 5.219| 4.857|A|M4|S| 0.451| 0.450| 0.739|-12.77| 1.603| 1.971| -0.40| 0.02|3317|PHX| | 0.25| | 0.008| | 0.23|07272450+0513329|0
Gl 213|All|PM I05421+1229  | 26857| 722| 455|1|05 42 09.3|+12 29 21| 0.1716|VL07| 2.001|-1.570|11.46|HIPPA|13.05|11.57|12.18|10.90| 9.37| 7.124| 6.627| 6.389|A|M5| | 0.437| 0.423| 0.720|-11.93| 1.354| 2.028| -0.24|     |3122|PHX|-| 0.19|-| 0.003|-| 0.14|05420897+1229252|0
Gl 299|All|PM I08119+0846  |      |    |    | |08 11 57.6|+08 46 22| 0.1487|Di14| 1.099|-5.123|12.86|APASS|14.57|12.86|13.59|12.22|10.62| 8.424| 7.927| 7.660|A|M4|S| 0.407| 0.380| 0.651|-16.71| 2.125| 3.077| -0.27|-0.11|3152|PHX|-| 0.19|-| 0.003|-| 0.14|08115757+0846220|0
Gl 51|All|PM I01033+6221  |      |    |    | |01 03 19.8|+62 21 55| 0.0955|VA95| 0.737| 0.087|13.32|USNOB|     |     |     |     |     | 8.611| 8.014| 7.718|A|M5|S| 0.359| 0.373| 0.647|-16.05| 2.592| 3.661| 10.59| 0.22|3094|PHX|-| 0.19|-| 0.003|-| 0.14|01031971+6221557|0
Gl 406|All|PM I10564+0700  |      |    |    | |10 56 28.9|+07 00 53| 0.4189|Ha93|-3.842|-2.725|12.94|USNOB|     |     |     |     |     | 7.085| 6.482| 6.084|A|M7|S| 0.271| 0.309| 0.645|-27.97| 3.054| 5.443|  7.71|     |2865|PHX|-| 0.19|-| 0.003|-| 0.14|10562886+0700527|0
GJ 1111|All|PM I08298+2646  |      |    |    | |08 29 49.4|+26 46 33| 0.2753|Di14|-1.110|-0.607|14.16|USNOB|     |     |     |     |     | 8.235| 7.617| 7.260|A|M1|S| 0.227| 0.256| 0.560|-29.77| 2.972| 6.535|  2.32|-0.36|2809|PHX|-| 0.19|-| 0.003|-| 0.14|08294949+2646348|0
Gl 752B|All|PM I19169+0510  | 94761| 472|1252|1|19 16 55.3|+05 10 08| 0.1704|VL07|-0.579|-1.332| 9.13|HIPPA|10.59| 9.47|     |     | 7.57| 5.583| 4.929| 4.673|A|M3|S| 0.569| 0.539| 0.788| -7.65| 1.175| 1.221| -0.41| 0.10|3557|PHX| | 0.42| | 0.025| | 0.43|19165526+0510086|0
